Time,Pre,Actual
2020/3/12,16.717901,15.84375
2020/3/13,15.056985,15.125
2020/3/14,14.03663,14
2020/3/15,12.969329,12.78125
2020/3/16,12.350942,15.03125
2020/3/17,14.487883,15.75
2020/3/18,14.620517,14.5
2020/3/19,13.557904,13.0625
2020/3/20,12.15651,11.65625
2020/3/21,11.03708,11.53125
2020/3/22,11.14841,12.28125
2020/3/23,11.218093,11.90625
2020/3/24,11.109605,11.03125
2020/3/25,11.039052,12.84375
2020/3/26,13.221954,13.21875
2020/3/27,13.392707,14.28125
2020/3/28,13.68476,13.71875
2020/3/29,13.462047,14.5625
2020/3/30,13.669623,14.59375
2020/3/31,13.943109,15.40625
2020/4/1,14.579561,15.15625
2020/4/2,15.784873,16.3125
2020/4/3,16.81962,18.375
2020/4/4,17.901022,19.40625
2020/4/5,18.170053,18.75
2020/4/6,17.585464,17.5
2020/4/7,16.007751,16.78125
2020/4/8,16.111483,17.09375
2020/4/9,15.765798,15.96875
2020/4/10,15.141963,14.71875
2020/4/11,14.626187,15.21875
2020/4/12,14.2089,14.3125
2020/4/13,13.18021,12.9375
2020/4/14,12.113866,12
2020/4/15,11.147813,11.09375
2020/4/16,10.942712,10.1875
2020/4/17,9.960601,10.28125
2020/4/18,10.073798,12.625
2020/4/19,12.303258,13.15625
2020/4/20,13.320551,12.65625
2020/4/21,12.87816,12.28125
2020/4/22,12.216077,11.53125
2020/4/23,11.202115,10.90625
2020/4/24,10.478596,10.34375
2020/4/25,10.123307,9.78125
2020/4/26,9.767851,9.1875
2020/4/27,9.3813925,8.65625
2020/4/28,8.801435,8.25
2020/4/29,8.458594,7.96875
2020/4/30,7.912696,7.8125
2020/5/1,7.8230553,7.75
2020/5/2,7.799218,7.65625
2020/5/3,7.746212,7.59375
2020/5/4,7.683342,7.5
2020/5/5,7.667289,7.4375
2020/5/6,8.197983,7.9375
2020/5/7,9.858883,17.90625
2020/5/8,19.147741,31.8125
2020/5/9,30.06437,38.6875
2020/5/10,34.943142,36.90625
2020/5/11,32.611084,33.71875
2020/5/12,29.748226,30.3125
2020/5/13,26.382982,27.84375
2020/5/14,25.253191,25.875
2020/5/15,23.109686,23.5
2020/5/16,21.730505,22.9375
2020/5/17,20.913136,21.15625
2020/5/18,19.11244,18.9375
2020/5/19,16.989086,17.1875
2020/5/20,16.33413,17.8125
2020/5/21,16.718386,17.4375
2020/5/22,15.985202,15.875
2020/5/23,15.729566,14.25
2020/5/24,13.883231,14.75
2020/5/25,15.564134,16.96875
2020/5/26,15.832799,16.34375
2020/5/27,15.445519,14.71875
2020/5/28,14.120589,13.21875
2020/5/29,12.201587,11.9375
