asst,sst,at,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,TzkSf,LzSf,JxSf,WsSf,DjtSf,runoff
296.713013,296.713013,22.92,19.27,14.81,38.671875,123.109375,151.14062,608.1719,856.375,1858.75,1866.375,2225.8125,2376.5156,5096.1406,5118.422
292.533203,292.533203,18.42,17.18,16.86,45.96875,142.8125,173.875,672.34375,880.71875,1886.2344,1882.6719,2216.875,2329.6719,4924.7656,4949.078
293.567596,293.567596,18.12,16.6,15.97,44.71875,137.98438,171.01562,721.7969,938,1950.3438,1940.2188,2255.2031,2308.2969,4763.5625,4783.4062
295.081146,295.081146,20.59,18.41,17.11,40.5,124.5,154.8125,692.5156,968.375,2023.875,2013.2969,2310.4375,2334.6406,4679.797,4693.2656
293.97702,293.97702,19.4,18,18.23,37.304688,113.52344,141,636.64844,932.03906,2054.0078,2056.2578,2358.7266,2388.8594,4652.672,4662.828
294.630402,294.630402,21.13,18.67,17.15,38.289062,113.96875,138.22656,602.5,875.58594,2017.1016,2034.2031,2371.5234,2435.3281,4648.133,4657.4453
294.905792,294.905792,20.9,19.5,16.27,36.242188,108.50781,133.05469,594.1719,833.9844,1946.8203,1969.2812,2334.6562,2442.8203,4618.4844,4629.9766
296.857697,296.857697,23.33,19.45,17.03,24,62.46875,73.21875,399.5,583.375,1533.7188,1536.875,1844.75,1986.8125,3615.5,3626.875
294.203827,294.203827,21.16,16.03,15.29,21.375,55.46875,65.125,361.875,543.21875,1516.2812,1531.5625,1839.1562,1974.5625,3627.9062,3636.0938
295.01062,295.01062,21.04,18.64,15.92,19.0625,49.3125,58.0625,324.09375,497.28125,1448.4688,1475.3125,1795.375,1961.5312,3658.9688,3665.4375
297.052795,297.052795,23.72,20.37,17.78,17,44.03125,52.0625,290.15625,450.6875,1350.4375,1384.3125,1707.0625,1915.7812,3659.7188,3670.1562
296.220276,296.220276,22.71,20.37,19.13,15.125,39.34375,46.8125,262.1875,407.65625,1246.5,1281.5312,1594.125,1831.2812,3569.7188,3588.875
297.735443,297.735443,24.1,20.47,19.16,13.5,35.625,42.5,237.15625,369.5625,1152.1875,1184.8438,1478.3125,1724.4688,3396.7812,3422.625
299.371002,299.371002,26.34,19.4,20.19,12.0625,32.46875,38.9375,214.84375,335.71875,1073.375,1102.0625,1370.875,1611.4062,3189.1875,3217.2812
301.437378,301.437378,28.85,24.52,20.47,10.8125,29.59375,35.65625,195.5,305.5,1000.90625,1028.4688,1275.7812,1501.0625,2979.375,3007.0938
297.731934,297.731934,24.99,20.14,20.65,9.96875,28.125,33.875,180.53125,280.875,931.8125,957.6875,1189.7188,1402.25,2792.3438,2818.0938
298.653625,298.653625,24.48,21.08,18.51,9.1875,26.5625,32.34375,178.65625,261.78125,884.8125,901.6875,1110.5625,1317.4688,2637.1875,2660.3125
297.176056,297.176056,23.94,20.94,19.09,8.5,24.75,30.25,184.03125,245.84375,876.96875,880.375,1046.5312,1239.9688,2503.5938,2525.1875
299.258453,299.258453,25.95,21.95,19.99,8.125,23.625,28.75,180.75,237.59375,887.03125,886.03125,1011.125,1167.5312,2378.8125,2399.125
297.362152,297.362152,24.13,21.38,21.78,7.75,22.71875,27.71875,170.96875,234.25,882.46875,887.3125,1000.40625,1113.2812,2276.125,2294.9688
297.718689,297.718689,24.85,19.93,19.8,9.59375,29.8125,34.375,162.21875,230.53125,856.09375,868.1875,992.46875,1082.5625,2200.25,2217.375
299.417145,299.417145,26.22,21.81,20.32,9.6875,30.875,38.1875,161.3125,224.1875,818.65625,834,971.21875,1064.3438,2135.875,2152.3438
301.135376,301.135376,28.48,23.84,21.49,8.71875,27.625,34.875,160.6875,222.53125,813.84375,817.1875,970.78125,1047.5312,2073.6562,2090.4375
297.872162,297.872162,24.01,20.7,21.93,12.65625,41.40625,47.46875,168.5,243.5625,836.4375,853.28125,1193.5,1079.4062,2094.6875,2100.8125
299.344086,299.344086,25.64,21.72,21.21,15.28125,50.0625,60.625,226.4375,274.34375,896.78125,899.40625,1395.4062,1300.0312,2476.7188,2445.3125
300.579163,300.579163,27.32,23.81,21.75,14.6875,47.21875,58.5625,284.3125,298.6875,983.53125,974.1875,1450.7812,1546.0312,3240.4688,3186.125
301.589203,301.589203,28.38,24.8,22.91,15.09375,46.0625,56.0625,294.5625,356.0625,1099.5625,1081.7812,1508.8438,1619.625,3955.4375,3911.6562
301.406372,301.406372,28,24.47,24.43,17.375,49.9375,60.15625,296.59375,440.625,1263.5,1239.875,1771.1562,1718.875,4363.0312,4340.625
299.050232,299.050232,25.52,22.21,24.08,18,51.125,62.6875,307.90625,511.8125,1433.4688,1423.2812,2226.7812,2092.0938,4900,4899.125
298.168762,298.168762,23.39,19.87,20.89,20.21875,55.0625,66.28125,328.59375,544.875,1553.4375,1559.875,2638.5625,2611.7812,5811.7812,5784.5312
301.450989,301.450989,28.16,23.74,23.41,19.34375,52.21875,64.4375,341.1875,545.1875,1625.875,1638.8438,2772.2812,3026.8438,6938.4688,6903.1562
302.722229,302.722229,28.98,24.64,23.89,17.28125,46.34375,57.53125,323.84375,537.15625,1657.4062,1678.5938,2697.25,3143.8438,7703.875,7704.0312
300.834625,300.834625,27.76,23.45,22.13,16.25,43.28125,53.28125,295.875,529.59375,1636.8438,1668.1875,2589.3125,3043.2188,7746.2812,7790.3125
297.422394,297.422394,24.93,20.29,20.61,18.09375,51.28125,62.625,283.34375,519.65625,1601.1562,1632.3125,2526.8125,2903.125,7279.875,7342
300.618866,300.618866,27.37,22.69,21.65,17.34375,51.3125,65.5,303.34375,503.25,1575.25,1601.4375,2431.4375,2801.7812,6753.9375,6808.8438
301.968506,301.968506,29.28,25.11,22.62,15.5,45.875,58.96875,301.46875,485.96875,1536.9688,1564.6875,2313.9375,2679.6875,6326.5,6373.5
302.959564,302.959564,29.96,26.33,22.6,13.78125,40.6875,52.3125,278.78125,472.5625,1484.1875,1515.1875,2208.7812,2535.3125,5932.9062,5976.8438
303.185394,303.185394,30.42,27.11,22.38,12.25,36.21875,46.5,254.90625,447.5,1407.4688,1444.4375,2098.8438,2409.9375,5559.625,5601.25
303.560486,303.560486,31.23,27.63,21.08,11.71875,34.46875,43.40625,237.75,423.8125,1333,1365.25,1976.25,2293.75,5204.7812,5245.75
303.965485,303.965485,31.37,27.98,23.04,25.21875,56.84375,63.84375,247.96875,420.5625,1312.9062,1325.5312,1865.2812,2169.375,4872.9375,4911.7812
303.659943,303.659943,32,28.25,23.91,42.1875,95.375,108.34375,324.25,462.90625,1454.6875,1412.375,1829.6875,2051.375,4608.3125,4639.625
304.051056,304.051056,32.13,27.05,23.88,59.78125,132.03125,151.03125,433.875,599.25,1913.3125,1799.4688,2117.6875,2011.4062,4524.25,4535.7188
299.313171,299.313171,26.44,21.54,22.08,73.34375,169.09375,194.5625,554.96875,831.15625,2578.8125,2458.7812,2922.2812,2284.5,4952.1562,4915.375
297.511444,297.511444,24.72,19.07,19.65,72.65625,170.9375,201.90625,668.5625,1027.4062,3085.125,3031.0625,3892.125,3075.0938,6138.7188,6059
300.28656,300.28656,27.19,21.79,19.77,64.15625,152.875,181.59375,658.53125,1103.125,3218.75,3244.6562,4440.7188,4055.5312,7614.9688,7538.5938
301.979034,301.979034,30.11,25.61,19.67,56.96875,136.15625,161.53125,597.59375,1060.125,3038.9688,3110.9375,4395.9688,4564.2812,8650.25,8616.125
301.533539,301.533539,28.43,23.34,17.35,51.359375,122.8125,145.35938,539.8125,967.4219,2758.1875,2831.6875,4049.7031,4502.125,8803.047,8823.422
295.688873,295.688873,22.67,20.02,18.73,46.46875,110.46875,131.07812,492.35938,878.4219,2546.3438,2593.375,3647.875,4154.5625,8242.672,8297.797
294.957886,294.957886,21.07,20.1,18.76,41.796875,99.078125,117.765625,449.78125,799.6875,2427.5938,2461.9375,3346.5781,3755.8281,7454.422,7513.3438
294.49762,294.49762,20.95,20.05,19.15,37.4375,88.734375,105.5,407.9375,734.40625,2284.0938,2330.6562,3146.0938,3441.6094,6816.3906,6860.25
296.701569,296.701569,23.82,21.19,19.22,33.96875,81.484375,96.640625,368.07812,671.2656,2092.0469,2147.9375,2947.2812,3232.4844,6377.25,6410.2188
299.271149,299.271149,26.44,23.02,20.22,30.46875,73.171875,87.25,334.57812,610.34375,1903.5,1955.1719,2698.4531,3028.9531,6004.375,6035.6562
301.386383,301.386383,28.4,25.6,21.04,27.234375,65.359375,78.109375,302.71875,554.40625,1748.2031,1793.1094,2467.4375,2788.4688,5620.5,5651.875
299.685394,299.685394,27.51,22.09,21.06,24.359375,58.4375,69.984375,272.85938,503.35938,1609.7812,1653.4375,2274.2344,2562.7656,5247.2812,5278.2812
300.389557,300.389557,28.24,23.37,21.25,21.84375,52.65625,63.109375,246.20312,455.76562,1476.625,1520.7188,2099.3594,2373.6719,4895.0312,4926.453
