asst,lhnf,sst,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,LueRO,GuangRO,TingRO,runoff
293.601501,64.6099472,293.601501,2.62E-05,9.89E-06,19.79,23.11,16.77,14.45,12.03125,37.84375,47.4375,214.625,323.53125,1144.5625,1138.4375
291.291077,18.2565212,291.291077,7.40E-06,1.19E-06,18.19,20.27,16.87,14.92,11.0625,34.625,43.15625,200.03125,305.0625,1135.875,1144.3438
290.799164,27.0820255,290.799164,1.10E-05,1.36E-06,18.06,20.16,15.8,14.35,11.25,35.4375,43.125,189.09375,287.5625,1090.125,1105.3438
291.615631,43.7541885,291.615631,1.77E-05,4.83E-06,17.69,20.39,16.05,12.68,11.65625,36.375,44.6875,184.6875,272.3125,1044.75,1059.0312
291.662537,15.1733685,291.662537,6.15E-06,1.25E-06,17.22,18.2,16.24,15.11,11.28125,35.03125,43.4375,189.09375,264.03125,1024.3125,1030.6562
291.041138,23.7403049,291.041138,9.63E-06,1.83E-06,18.03,20.49,15.25,15.66,11.4375,35.875,43.8125,195.09375,268.65625,1050.125,1045.5312
293.070526,100.530342,293.070526,4.08E-05,9.53E-06,19.82,23.94,16.27,11.69,11.46875,36.1875,44.5,199.90625,277.90625,1085.75,1079.1875
292.83255,119.200203,292.83255,4.83E-05,1.87E-05,18.71,23.05,14.74,8.87,12.78125,40.125,48.09375,203.25,280.6875,1119.8125,1113.4375
292.498627,44.5133057,292.498627,1.80E-05,5.45E-06,16.63,18.2,15.7,13.31,12.53125,39.25,48.375,208.5,284.5625,1155.25,1148.9062
291.35556,0.482005417,291.35556,1.95E-07,2.30E-07,16.79,17.5,16.01,15.45,11.4375,35.875,44.4375,208.15625,285.84375,1190.1562,1184.8125
292.731903,56.6355324,292.731903,2.30E-05,7.58E-06,18.69,21.95,15.48,15.52,13.1875,40.09375,47.40625,203.625,288.71875,1202.5938,1203.0625
295.005829,121.765289,295.005829,4.94E-05,2.48E-05,21.79,27.48,16.11,14.71,13.03125,40.1875,49.0625,213.09375,288.75,1196.3438,1200.25
296.72522,126.260834,296.72522,5.12E-05,2.59E-05,22.68,28.84,16.63,16.7,11.75,36.28125,44.75,221.375,283.90625,1186.4062,1191.875
298.73172,148.889328,298.73172,6.04E-05,3.05E-05,26.03,31.16,21.88,18.11,10.625,32.8125,40.4375,215.5625,282.53125,1172.625,1179.5625
296.577362,81.7124252,296.577362,3.31E-05,1.55E-05,23.74,31.11,18.31,17.91,9.75,30.09375,37.0625,204.1875,281.9375,1155.3125,1163.5
292.567505,31.6603928,292.567505,1.28E-05,2.22E-06,20.18,23.66,17.46,15.04,12.71875,45.84375,53.59375,203.59375,289.15625,1151.625,1156.2812
294.657043,84.78582,294.657043,3.44E-05,1.39E-05,21.52,26.62,16.92,16.45,15.09375,55.15625,68.5625,240.96875,305.03125,1188.4062,1180.4062
296.52594,98.4431,296.52594,3.99E-05,1.89E-05,22.53,26.85,17.92,17.4,14.5,52.0625,66.40625,272.84375,319.1875,1242.75,1232.5
297.441681,110.267731,297.441681,4.47E-05,2.34E-05,23.99,28.06,20.69,18.33,13.03125,46.40625,59.5,268.375,338.90625,1278.2188,1274.3438
297.250366,58.1018372,297.250366,2.36E-05,8.59E-06,23.37,25.53,21.38,20.18,11.65625,41.34375,53,249.65625,348.46875,1291.7812,1294.5938
292.987152,12.5954762,292.987152,5.11E-06,1.32E-06,20.4,23.42,17.1,16.97,15.6875,57.375,70.28125,275.5625,358.0625,1287.1875,1292.7812
291.203369,18.8810921,291.203369,7.66E-06,1.30E-06,17.96,19.37,17.15,15.67,23.1875,82.625,102.5,476.46875,432.625,1363.875,1336.0625
292.897766,85.3224487,292.897766,3.46E-05,1.43E-05,19.39,22.8,15.96,15,24.46875,85.75,110.375,688.375,618.75,1683.4062,1587.25
294.817566,123.909492,294.817566,5.02E-05,2.53E-05,21.28,26.08,15.07,15.52,22.625,78.25,101.625,693.15625,818.53125,2109.1875,2018.5938
295.929443,95.1749344,295.929443,3.86E-05,1.88E-05,22.31,26.09,18.29,16.98,20.375,70.09375,91.15625,624.8125,860.78125,2274.7812,2261.5312
294.611023,59.505619,294.611023,2.41E-05,8.82E-06,20.95,23.73,18.33,17.16,18.40625,63.28125,82.375,552.84375,799.84375,2179.8438,2218.0938
292.284485,-7.33373928,292.284485,-2.97E-06,2.35E-07,19.08,20.73,17.91,17.21,17.15625,61,80.21875,502.5,727.96875,2014.6562,2058.1562
292.377991,24.5914173,292.377991,9.97E-06,2.07E-06,19.39,21.09,17.68,16.71,17.875,65.46875,86.15625,497.125,699.15625,1924.0312,1941.9375
295.374603,132.937546,295.374603,5.39E-05,2.50E-05,22.24,27.74,16.98,15.91,19.96875,69.40625,90.71875,505.09375,705.875,1926.9688,1923.4375
295.079498,92.4302216,295.079498,3.75E-05,1.70E-05,21.13,24.63,17.18,16.83,19.875,66.09375,87.09375,494.78125,706.3125,1947.375,1944.3438
296.841919,116.333061,296.841919,4.72E-05,2.58E-05,22.87,27.04,19.05,17.44,18.34375,59.875,79.0625,461.46875,686.09375,1952.7812,1958.3125
294.236908,28.1770859,294.236908,1.14E-05,4.32E-06,20.1,22.06,18.24,18.1,16.46875,53.625,70.90625,420.15625,647.59375,1916.4688,1933.5625
293.099182,29.725153,293.099182,1.21E-05,4.08E-06,19.83,22.96,16.12,17.38,14.96875,48.65625,64.1875,381.9375,603.46875,1845.625,1870.9062
295.818268,95.2028809,295.818268,3.86E-05,2.01E-05,21.49,25.59,17.89,17.41,13.875,45,58.90625,348.8125,560.21875,1759.6562,1787.9062
296.778412,109.753029,296.778412,4.45E-05,2.46E-05,24.01,28.87,18.58,17.98,12.625,41.03125,53.78125,317.90625,512.71875,1657.2188,1690.6562
297.882111,123.708893,297.882111,5.02E-05,2.90E-05,24.7,29.23,18.6,19.15,11.34375,37.3125,48.8125,288.65625,467.4375,1539.0938,1575.875
298.776855,129.319473,298.776855,5.24E-05,3.23E-05,25.43,30.31,20.77,19.01,10.59375,35.78125,46.4375,261.875,425.71875,1418.875,1456
299.681213,144.761078,299.681213,5.87E-05,3.64E-05,26.45,31.9,20.4,20.51,10,34.78125,44.9375,239.59375,388.15625,1305.4062,1340.6875
300.946075,151.026077,300.946075,6.12E-05,3.66E-05,28.24,32.25,24.05,21.07,9.34375,32.625,42.28125,220.9375,356.21875,1205.5625,1237.9688
298.932709,91.1861191,298.932709,3.70E-05,1.84E-05,25.68,29.57,21.67,19.66,9.09375,30.9375,39.71875,204.28125,329.9375,1119.125,1148.6875
299.492981,117.111923,299.492981,4.75E-05,3.01E-05,27.19,33.09,21.3,21.39,8.84375,29.46875,37.75,191.5625,306.84375,1055.375,1077.6875
298.732178,109.473862,298.732178,4.44E-05,2.58E-05,25.59,30.33,21.44,21.55,8.5625,28.5,36.40625,182.59375,285.8125,1028.5938,1040.9375
