ssm,rzsm,tws,asst,psm,sst,Tran,at,tmax,tmin,dpt,FengRO,CiRO,TanRO,LueRO,runoff
6.01625347,297.363159,1984.01367,294.321136,1983.94312,294.321136,7.71E-06,19.37,21.52,17.62,18,16.46875,53.625,70.90625,420.15625,647.59375
5.96995306,296.581238,1984.26453,293.052887,1984.21301,293.052887,8.37E-06,18.29,20.83,15.82,16.98,14.96875,48.65625,64.1875,381.9375,603.46875
5.8731513,294.206085,1982.75232,294.632965,1982.74231,294.632965,1.97E-05,20.57,24.54,16.72,16.29,13.875,45,58.90625,348.8125,560.21875
5.73244238,290.180695,1979.45178,297.947327,1979.44885,297.947327,3.73E-05,22.88,28.35,18.65,18.27,12.625,41.03125,53.78125,317.90625,512.71875
5.72391224,286.799316,1976.625,297.578888,1976.61438,297.578888,2.58E-05,23.86,28.21,19.43,19.06,11.34375,37.3125,48.8125,288.65625,467.4375
5.59408236,283.348938,1973.56396,299.000946,1973.56152,299.000946,3.44E-05,24.41,29.54,19.66,19.12,10.59375,35.78125,46.4375,261.875,425.71875
5.47485733,279.102448,1969.54187,300.326202,1969.54028,300.326202,3.51E-05,25.02,30.83,20.35,20.59,10,34.78125,44.9375,239.59375,388.15625
5.49794531,275.822449,1966.29199,300.130432,1966.27942,300.130432,2.84E-05,26.03,30.7,21.36,20.66,9.34375,32.625,42.28125,220.9375,356.21875
5.32409096,273.290497,1963.64917,300.117096,1963.64844,300.117096,2.86E-05,23.38,27.8,18.67,19.37,9.09375,30.9375,39.71875,204.28125,329.9375
5.25950956,269.228607,1959.34338,300.057068,1959.34033,300.057068,3.22E-05,26.01,32.91,20.57,19.73,8.84375,29.46875,37.75,191.5625,306.84375
5.40315199,268.139221,1957.87158,298.313843,1957.82727,298.313843,1.60E-05,23.85,29.14,19.33,20.52,8.5625,28.5,36.40625,182.59375,285.8125
