asst,lhnf,sst,Evap,Tran,gp,at,tmax,tmin,dpt,FzSf,CbSf,TjzSf,LySf,GySf,runoff
294.018921,89.7000351,294.018921,3.64E-05,1.56E-05,943.83,21.25,26.73,15.91,15.56,15.09375,55.15625,68.5625,240.96875,305.03125,1188.4062
295.923401,103.655998,295.923401,4.20E-05,2.08E-05,945.06,22.04,26.15,17.03,16.92,14.5,52.0625,66.40625,272.84375,319.1875,1242.75
296.396729,108.517616,296.396729,4.40E-05,2.31E-05,943.01,23.32,27.51,19.53,17.5,13.03125,46.40625,59.5,268.375,338.90625,1278.2188
296.537781,59.3634186,296.537781,2.41E-05,9.17E-06,941.59,22.52,24.55,20.34,19.42,11.65625,41.34375,53,249.65625,348.46875,1291.7812
292.141846,5.99292755,292.141846,2.43E-06,1.03E-06,944.89,18.78,21.19,15.92,16.26,15.6875,57.375,70.28125,275.5625,358.0625,1287.1875
290.646759,25.5284843,290.646759,1.04E-05,1.90E-06,948.27,17.06,19.66,15.7,14.64,23.1875,82.625,102.5,476.46875,432.625,1363.875
292.211548,85.4158325,292.211548,3.46E-05,1.52E-05,949.13,19.07,22.74,14.49,14.37,24.46875,85.75,110.375,688.375,618.75,1683.4062
294.100983,124.211411,294.100983,5.04E-05,2.60E-05,948.25,20.7,25.46,14.5,14.81,22.625,78.25,101.625,693.15625,818.53125,2109.1875
295.028564,94.3130722,295.028564,3.82E-05,1.89E-05,946.04,21.49,25.6,17.24,16.12,20.375,70.09375,91.15625,624.8125,860.78125,2274.7812
293.793762,60.0916672,293.793762,2.44E-05,8.84E-06,944.12,19.92,22.63,17.02,16.78,18.40625,63.28125,82.375,552.84375,799.84375,2179.8438
291.595642,-14.7827082,291.595642,-5.99E-06,5.20E-08,940.97,18.17,19.49,17.09,16.52,17.15625,61,80.21875,502.5,727.96875,2014.6562
291.801422,24.2826138,291.801422,9.84E-06,1.73E-06,939.97,18.46,19.92,16.69,16.08,17.875,65.46875,86.15625,497.125,699.15625,1924.0312
294.388458,137.499939,294.388458,5.57E-05,2.68E-05,942.51,21.79,27.35,15.85,15.1,19.96875,69.40625,90.71875,505.09375,705.875,1926.9688
294.170837,82.6291656,294.170837,3.35E-05,1.59E-05,944.48,19.98,23.78,16.11,16.66,19.875,66.09375,87.09375,494.78125,706.3125,1947.375
295.857056,114.756798,295.857056,4.65E-05,2.61E-05,944.79,22.01,26.19,17.63,16.95,18.34375,59.875,79.0625,461.46875,686.09375,1952.7812
293.720734,31.6606979,293.720734,1.28E-05,5.09E-06,945.23,19.55,21.49,17.8,17.55,16.46875,53.625,70.90625,420.15625,647.59375,1916.4688
292.486389,32.4722824,292.486389,1.32E-05,4.70E-06,943.74,19.14,22.13,15.22,16.72,14.96875,48.65625,64.1875,381.9375,603.46875,1845.625
294.670959,91.3894043,294.670959,3.71E-05,1.91E-05,942.13,20.75,24.86,17.09,16.79,13.875,45,58.90625,348.8125,560.21875,1759.6562
