rzsm,sd,asst,lhnf,sst,se,sdwe,Evap,Tran,at,tmax,tmin,dpt,FengRO,CiRO,runoff
192.533188,0,287.237244,27.120863,287.237244,0,0,1.10E-05,9.40E-07,13.85,17.5,10.34,10.92,11.25,35.4375,43.125
193.228607,0,288.305573,41.3135605,288.305573,0,0,1.67E-05,3.58E-06,14.11,18.1,10.93,9.82,11.65625,36.375,44.6875
195.32962,0,286.793549,24.741497,286.793549,0,0,1.00E-05,6.11E-07,12.92,14.19,11.58,10.4,11.28125,35.03125,43.4375
199.188171,0,287.37204,25.6291294,287.37204,0,0,1.04E-05,1.01E-06,12.45,15.04,8.82,11.07,11.4375,35.875,43.8125
198.733765,0,287.107239,67.1622009,287.107239,0,0,2.72E-05,3.90E-06,11.57,18.46,5.47,7.81,11.46875,36.1875,44.5
196.661667,0,287.931885,58.7733078,287.931885,0,0,2.38E-05,7.51E-06,13.19,17.06,8.67,4.67,12.78125,40.125,48.09375
194.450043,0,291.312286,75.7671661,291.312286,0,0,3.07E-05,1.06E-05,15.93,20.92,11.35,7.61,12.53125,39.25,48.375
196.369965,0,287.848663,32.675869,287.848663,0,0,1.32E-05,9.40E-07,13.47,14.61,11.51,10.7,11.4375,35.875,44.4375
195.951874,0,289.945465,76.2591248,289.945465,0,0,3.09E-05,9.25E-06,15.7,19.35,11.72,8.65,13.1875,40.09375,47.40625
193.494019,0,292.735809,68.6986542,292.735809,0,0,2.79E-05,1.17E-05,17.4,23.38,10.45,9.59,13.03125,40.1875,49.0625
191.627594,0,294.35675,66.4445038,294.35675,0,0,2.69E-05,1.07E-05,18.69,24.69,12.93,12.73,11.75,36.28125,44.75
189.497253,0,296.141144,88.2486115,296.141144,0,0,3.58E-05,1.26E-05,19.79,24.64,14.48,13.93,10.625,32.8125,40.4375
191.094009,0,293.442017,87.2238922,293.442017,0,0,3.54E-05,6.87E-06,19.54,25.32,11.15,15.3,9.75,30.09375,37.0625
199.134338,0,289.02182,67.2648087,289.02182,0,0,2.73E-05,3.65E-06,13.44,15.82,11.2,10.82,12.71875,45.84375,53.59375
198.466858,0,291.991333,59.891346,291.991333,0,0,2.43E-05,1.06E-05,17.44,22.98,11.87,11.19,15.09375,55.15625,68.5625
196.095367,0,293.403259,65.5631409,293.403259,0,0,2.66E-05,1.18E-05,18.27,23.06,14.24,13.26,14.5,52.0625,66.40625
193.99437,0,294.614655,70.844841,294.614655,0,0,2.87E-05,1.16E-05,19.32,24.36,13.4,13.35,13.03125,46.40625,59.5
196.277557,0,293.013519,89.5325851,293.013519,0,0,3.63E-05,7.60E-06,17.97,22.79,13.41,15.35,11.65625,41.34375,53
207.900101,0,287.664093,42.9739685,287.664093,0,0,1.74E-05,7.66E-07,12.79,14.4,11.43,11.94,15.6875,57.375,70.28125
210.656494,0,288.259918,38.2668495,288.259918,0,0,1.55E-05,3.30E-06,13.44,16.73,9.46,10.97,23.1875,82.625,102.5
206.904556,0,290.95163,66.9894791,290.95163,0,0,2.72E-05,1.29E-05,16.94,21.17,12.07,10.98,24.46875,85.75,110.375
202.777756,0,292.800293,96.6238708,292.800293,0,0,3.92E-05,1.84E-05,16.88,22.06,10.43,11.11,22.625,78.25,101.625
199.531403,0,292.744537,84.9929276,292.744537,0,0,3.45E-05,1.39E-05,17.4,22.06,11.94,12.09,20.375,70.09375,91.15625
200.898285,0,290.765381,77.8723526,290.765381,0,0,3.16E-05,6.01E-06,16.43,20.25,13.16,13.85,18.40625,63.28125,82.375
205.815338,0,288.621765,36.4925385,288.621765,0,0,1.48E-05,7.82E-07,15.38,17.3,14.05,13.89,17.15625,61,80.21875
214.377838,0,289.661652,55.8743744,289.661652,0,0,2.27E-05,2.76E-06,14.98,16.52,13.64,13.51,17.875,65.46875,86.15625
210.1698,0,291.295105,99.5614166,291.295105,0,0,4.04E-05,1.71E-05,16.43,21.12,10.94,10.64,19.96875,69.40625,90.71875
206.614624,0,291.377533,64.776413,291.377533,0,0,2.63E-05,1.26E-05,16.34,20.45,10.83,11.65,19.875,66.09375,87.09375
203.558456,0,292.706207,77.6094284,292.706207,0,0,3.15E-05,1.55E-05,17.72,22.6,12.44,12.72,18.34375,59.875,79.0625
201.408966,0,292.817108,61.4178696,292.817108,0,0,2.49E-05,1.09E-05,18.21,22.44,14.28,13.52,16.46875,53.625,70.90625
200.356171,0,290.746246,33.9835625,290.746246,0,0,1.38E-05,5.04E-06,16.97,20.52,13.05,13.76,14.96875,48.65625,64.1875
198.895966,0,293.589264,58.4185829,293.589264,0,0,2.37E-05,1.23E-05,19.02,24.78,12.94,13.94,13.875,45,58.90625
196.755051,0,296.615753,89.9103928,296.615753,0,0,3.65E-05,1.85E-05,21.08,27.29,15.2,15.9,12.625,41.03125,53.78125
194.774353,0,295.817322,78.4276352,295.817322,0,0,3.18E-05,1.50E-05,20.92,26.04,15.78,16.77,11.34375,37.3125,48.8125
193.256592,0,296.985931,74.135376,296.985931,0,0,3.01E-05,1.53E-05,21.73,27.87,15.32,16.66,10.59375,35.78125,46.4375
191.265625,0,298.259155,94.7799301,298.259155,0,0,3.84E-05,1.92E-05,22.36,28.39,15.52,16.57,10,34.78125,44.9375
190.14064,0,297.391754,59.9539032,297.391754,0,0,2.43E-05,1.15E-05,23.39,27.62,18.51,17.11,9.34375,32.625,42.28125
188.444687,0,297.783447,98.0099106,297.783447,0,0,3.97E-05,1.76E-05,22.44,27.02,17.28,14.28,9.09375,30.9375,39.71875
186.301514,0,297.520142,91.5975723,297.520142,0,0,3.71E-05,1.80E-05,22.15,29.03,14.86,13.53,8.84375,29.46875,37.75
185.286163,0,296.546539,76.225174,296.546539,0,0,3.09E-05,1.28E-05,20.88,26.13,16.07,16.27,8.5625,28.5,36.40625
185.23526,0,296.153717,58.2502594,296.153717,0,0,2.36E-05,9.05E-06,21.54,26.04,17.4,16.8,8.40625,28.0625,35.8125
184.842499,0,296.433502,63.6793518,296.433502,0,0,2.58E-05,1.13E-05,21.56,25.6,15.49,16.39,8.28125,27.6875,35.28125
186.678986,0,295.272156,69.8201294,295.272156,0,0,2.83E-05,6.33E-06,21.55,26.6,16.81,17.24,8.21875,27.34375,34.75
188.099182,0,294.108978,66.9585648,294.108978,0,0,2.71E-05,5.56E-06,19.7,23.01,16.7,16.9,8.15625,27.125,34.4375
191.479568,0,291.868408,50.6733208,291.868408,0,0,2.05E-05,1.46E-06,18.44,20.35,16.6,16.26,8.1875,27.28125,34.6875
195.029297,0,292.446533,41.7111549,292.446533,0,0,1.69E-05,1.67E-06,18.65,20.19,17.41,16.43,8.21875,27.78125,35.5
197.278107,0,293.844147,45.8893967,293.844147,0,0,1.86E-05,3.15E-06,19.76,22.09,18.2,17.54,8.28125,28,35.75
199.084091,0,294.726654,75.454834,294.726654,0,0,3.06E-05,3.97E-06,19.81,22.3,17.38,18.42,10.453125,30.5,38.0625
204.343216,0,295.155273,76.852951,295.155273,0,0,3.12E-05,5.65E-06,20.62,22.98,17.74,17.99,14.171875,37.984375,45.9375
207.855728,0,295.081757,67.2910614,295.081757,0,0,2.73E-05,6.47E-06,21.24,23.94,19.07,19.18,24.203125,52.15625,59.625
